,word1,word2,freq
461,마일드,세포,4
462,마일드,소비자,4
463,마일드,소양,4
464,마일드,소화,4
465,마일드,생산,4
466,안심,흡수,4
467,마일드,스틱,4
468,마일드,시설,4
469,마일드,식물,4
470,마일드,식품,4
471,마일드,실시,4
472,마일드,선물,4
473,마일드,사포닌,4
474,마일드,안심,4
475,인컴,흡수,4
476,마일드,변환,4
477,마일드,별도,4
478,마일드,보존료,4
479,마일드,복합,4
480,마일드,분쇄,4
481,단전,마일드,4
482,마일드,분자,4
483,마일드,사진,4
484,마일드,분해,4
485,사포닌,추석,4
486,다음,흡수,4
487,마일드,비타민,4
488,마일드,사용,4
489,마일드,사이드,4
490,마일드,아시아,4
491,마일드,안전,4
492,마일드,추석,4
493,배포,흡수,4
494,마일드,지용성,4
495,사포닌,프로모션,4
496,기간,사포닌,4
497,마일드,진세,4
498,마일드,차이,4
499,마일드,처리,4
500,사포닌,프린트,4
501,변환,비타민,4
502,마일드,체내,4
503,한국,흡수,4
504,마일드,체질,4
505,마일드,초미세,4
506,마일드,최대,4
507,마일드,최종,4
508,기간,비타민,4
509,마일드,제품,4
510,사포닌,특징,4
511,마일드,인증,4
512,금지,흡수,4
513,마일드,영양,4
514,마일드,용량,4
515,인증,흡수,4
516,마일드,유통,4
517,마일드,인공,4
518,기간,마일드,4
519,마일드,제조,4
520,마일드,인컴,4
521,마일드,일반,4
522,마일드,자료,4
523,마일드,점제,4
524,마일드,제공,4
525,변환,사포닌,4
526,비타민,사용,4
527,나머지,사포닌,4
528,경우,사포닌,4
529,비타민,효소,4
530,대상,사포닌,4
531,비타민,함유,4
532,경제,성분,4
533,처리,흡수,4
534,비타민,핵심,4
535,비타민,행사,4
536,고분자,흡수,4
537,경제,세계,4
538,비타민,향료,4
539,비타민,형태,4
540,비타민,혜택,4
541,경제,세포,4
542,경제,소비자,4
543,경제,영양,4
544,비타민,흡수,4
545,경제,소양,4
546,경제,소포제,4
547,경제,소화,4
548,경제,스틱,4
549,경제,시설,4
550,경제,식물,4
551,경제,식품,4
552,경제,실시,4
553,경제,아시아,4
554,경제,안심,4
555,사용,사포닌,4
556,비타민,할인,4
557,비타민,한국인,4
558,비타민,한국,4
559,경제,섭취,4
560,경제,사용,4
561,비타민,지용성,4
562,공법,사포닌,4
563,비타민,진세,4
564,비타민,차이,4
565,경제,사이드,4
566,경제,사진,4
567,공법,비타민,4
568,경제,사포닌,4
